source,workload,mode,scheduler,trial,clients,data_sets,precreate_per_set,ops_per_set,iterations,batch_size,offset,parent_count,fan_in,operation,phase,tx_count,seconds,ops_per_sec,key_conflicts,conflicts_per_tx,parent_write_parent_count,max_clients_per_parent,mean_clients_per_parent,local_failed_count,global_failed_count,fallback_tx_count,git_rev
madsim,mdtest,public,aria,0,16,,,,,512,,,,directory_remove,Directory removal,64,4.528052878,14.134110560,,,,,,43,172,172,4d65fef
madsim,mdtest,private,calvin,0,32,,,,,512,,,,directory_create,Directory creation,128,1.180833801,108.397981064,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,32,,,,,512,,,,directory_stat,Directory stat,128,0.789118428,162.206324752,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,32,,,,,512,,,,file_create,File creation,2048,9.512181366,215.302875460,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,32,,,,,512,,,,file_stat,File stat,2048,7.787404500,262.988778867,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,32,,,,,512,,,,file_unlink,File removal,2048,9.445323181,216.826884666,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,32,,,,,512,,,,directory_remove,Directory removal,128,1.172326431,109.184606450,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,32,,,,,512,,,,directory_create,Directory creation,128,2.225285900,57.520698801,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,32,,,,,512,,,,directory_stat,Directory stat,128,0.799822464,160.035515082,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,32,,,,,512,,,,file_create,File creation,2048,30.567163657,67.000001144,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,32,,,,,512,,,,file_stat,File stat,2048,7.775939911,263.376520837,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,32,,,,,512,,,,file_unlink,File removal,2048,30.456116565,67.244292148,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,32,,,,,512,,,,directory_remove,Directory removal,128,2.212131784,57.862737169,,,,,,0,0,0,4d65fef
